,Title,Published_date,View_count,likeCount,favoriteCount,Month
0,कला र संस्कृतिको संरक्षणमा जोड दिन्छौँ  - Mayor Balen,2022-11-25,966,58,0,Nov
1,नयाँ नेतृत्व दिइएन भने पार्टीले ठूलो क्षति बेहोर्नु पर्छ : गगन थापा,2022-11-25,5885,757,0,Nov
2,के Parkinson रोगको पुर्ण उपचार सम्भव छ ? | Dr. Kantipur - 26 November 2022,2022-11-25,0,3,0,Nov
3,"Kantipur English News | Full English News - November 25, 2022",2022-11-25,2526,58,0,Nov
4,"समानुपातिक मतगणना जारी, नेकपा एमालेको मत दशलाख कट्यो |कान्तिपुर निर्वाचन विशेष | Election Nepal-LIVE",2022-11-25,0,0,0,Nov
5,About World Cup & Election In Nepal | Good Morning Nepal - 25 November 2022,2022-11-25,519,19,0,Nov
6,Bhavishya Darpan - भाबिस्य दर्पण ज्योतिषाचार्य श्री त्रिविक्रम कोइराला | 25 November 2022 | EP - 10,2022-11-25,448,3,0,Nov
7,प्रभावशाली नेताहरु नै पराजित । कान्तिपुर समाचार,2022-11-24,12440,182,0,Nov
8,"गठबन्धन अनुचित, मतदाता शिक्षा निष्प्रभावी : गोपाल कृष्ण सिवाकोटी | Kantipur Nirbachan bahas",2022-11-24,1213,12,0,Nov
9,चितवन–२ मा रवि लामिछानेको फराकिलो जित | कान्तिपुर निर्वाचन विशेष | Election Nepal - LIVE,2022-11-24,93714,614,0,Nov
10,मधेसका दलित समुदायको जीवनस्तरमा भएन सुधार । कान्तिपुर समाचार,2022-11-24,555,12,0,Nov
11,मधेस प्रदेश जसपा र लोसपालाई जनमत पार्टीको चुनौती । कान्तिपुर समाचार,2022-11-24,2323,28,0,Nov
12,चुनाव सकिएपछि म्यादी प्रहरीलाई विदा । कान्तिपुर समाचार,2022-11-24,2217,59,0,Nov
13,रोचक बन्दै धरानको चुनावी मतपरिणा । कान्तिपुर समाचार,2022-11-24,2655,68,0,Nov
14,नयाँ दलतर्फ जनमत आकर्षित । कान्तिपुर समाचार,2022-11-24,1620,17,0,Nov
15,संसद र सत्तामा नयाँ समीकरणको प्रयास  । कान्तिपुर समाचार,2022-11-24,3518,125,0,Nov
16,"Kantipur Samachar | कान्तिपुर समाचार, ०८ मंसिर २०७९",2022-11-24,40143,699,0,Nov
17,विजयी भएपछि तोसिमा कार्की भन्छिन् - न्यायलयप्रति कृतज्ञ छु,2022-11-24,4648,201,0,Nov
18,"त्रिशंकु बन्ने भयो संसद्,  बहुमत जुटाउन कठिन । Kantipur Samachar",2022-11-24,7747,156,0,Nov
19,Bhavishya Darpan - भाबिस्य दर्पण ज्योतिषाचार्य श्री त्रिविक्रम कोइराला | 24 November 2022 | EP - 09,2022-11-24,323,2,0,Nov
20,Muscles Strengthening Asana | Kantipur Yoga With Zahyan | Episode 54 | 09 November 2022,2022-11-24,455,8,0,Nov
21,Asanas For Diabetes Control | Kantipur Yoga With Zahyan | Episode 55 | 10 November 2022,2022-11-24,392,4,0,Nov
22,गठबन्धन माओवादीकै लागि प्रतिउत्पादक | Ganesh Shah,2022-11-23,1322,16,0,Nov
23,नयाँ दलहरुको स्पष्ट भिजन छैन | Prakash Sharan Mahat,2022-11-23,683,10,0,Nov
24,अबको संसदलाई अस्थिरताको कारण बन्न नदिऔँ | Bishnu Rimal,2022-11-23,527,14,0,Nov
25,"Kantipur Samachar | कान्तिपुर समाचार, ०७ मंसिर २०७९",2022-11-23,46908,682,0,Nov
26,आगामी प्रतिनिधि सभा त्रिशंकु बन्ने निश्चित । Kantipur Samachar,2022-11-23,2275,40,0,Nov
27,काठमाडौंका मतदाता हरेक निर्वाचनमा परिवर्तनको पक्षमा । Kantipur Samachar,2022-11-23,3814,150,0,Nov
